term,estimate,std.error,z_statistic,p_value,component,species
p(log_events),0.9338150879260474,NA,NA,NA,other,Anas platyrhynchos
p(log_observers),0.10320129714607974,NA,NA,NA,other,Anas platyrhynchos
p(duration_min),1.1412680560581281e-7,NA,NA,NA,other,Anas platyrhynchos
psi(Int),0.3084127979831512,NA,NA,NA,initial_occupancy,Phasianus colchicus
psi(bio4),4.4335914823038785,NA,NA,NA,initial_occupancy,Phasianus colchicus
psi(elev_sd),-0.05256948021880382,NA,NA,NA,initial_occupancy,Phasianus colchicus
psi(texture_shannon),-0.2764651898640695,NA,NA,NA,initial_occupancy,Phasianus colchicus
psi(npp_mean),-3.4255029846562852,NA,NA,NA,initial_occupancy,Phasianus colchicus
psi(landcover_built),4.264814707644773,NA,NA,NA,initial_occupancy,Phasianus colchicus
col(Int),-2.245279702102689,NA,NA,NA,colonization,Phasianus colchicus
col(block_index),0.32035110497207014,NA,NA,NA,colonization,Phasianus colchicus
col(built_rep),-1.358277003854724,NA,NA,NA,colonization,Phasianus colchicus
col(npp_rep),0.12244354117912772,NA,NA,NA,colonization,Phasianus colchicus
ext(Int),-1.8274720343459965,NA,NA,NA,extinction,Phasianus colchicus
ext(block_index),-0.5544345301137362,NA,NA,NA,extinction,Phasianus colchicus
ext(built_rep),0.17589592931798595,NA,NA,NA,extinction,Phasianus colchicus
ext(bio4),-1.0891549206428761,NA,NA,NA,extinction,Phasianus colchicus
p(Int),-2.243905397588261,NA,NA,NA,other,Phasianus colchicus
p(log_events),1.0778947806262142,NA,NA,NA,other,Phasianus colchicus
p(log_observers),-0.1609034761214345,NA,NA,NA,other,Phasianus colchicus
p(duration_min),-1.3572352830990511e-8,NA,NA,NA,other,Phasianus colchicus
psi(Int),1.9120529991198114,NA,NA,NA,initial_occupancy,Motacilla cinerea
psi(bio4),-0.8474557398485564,NA,NA,NA,initial_occupancy,Motacilla cinerea
psi(elev_sd),-0.009036580550161133,NA,NA,NA,initial_occupancy,Motacilla cinerea
psi(texture_shannon),0.5348254862555407,NA,NA,NA,initial_occupancy,Motacilla cinerea
psi(npp_mean),0.7384373349764908,NA,NA,NA,initial_occupancy,Motacilla cinerea
psi(landcover_built),-0.06494480801567662,NA,NA,NA,initial_occupancy,Motacilla cinerea
col(Int),11.794209215220528,NA,NA,NA,colonization,Motacilla cinerea
col(block_index),-13.132830543992805,NA,NA,NA,colonization,Motacilla cinerea
col(built_rep),-19.937099630428328,NA,NA,NA,colonization,Motacilla cinerea
col(npp_rep),-4.56970336838426,NA,NA,NA,colonization,Motacilla cinerea
ext(Int),-4.832550067624941,NA,NA,NA,extinction,Motacilla cinerea
ext(block_index),-0.405490426270461,NA,NA,NA,extinction,Motacilla cinerea
ext(built_rep),-5.5540944202741365,NA,NA,NA,extinction,Motacilla cinerea
ext(bio4),-0.6494801048905763,NA,NA,NA,extinction,Motacilla cinerea
p(Int),-3.495171109478786,NA,NA,NA,other,Motacilla cinerea
p(log_events),1.1035929862922016,NA,NA,NA,other,Motacilla cinerea
p(log_observers),0.17331902088416692,NA,NA,NA,other,Motacilla cinerea
p(duration_min),2.7560186410979256e-7,NA,NA,NA,other,Motacilla cinerea
psi(Int),1.6235641709665332,NA,NA,NA,initial_occupancy,Cecropis daurica
psi(bio4),0.023184973506719327,NA,NA,NA,initial_occupancy,Cecropis daurica
psi(elev_sd),0.035678559006548115,NA,NA,NA,initial_occupancy,Cecropis daurica
psi(texture_shannon),0.12254768729249262,NA,NA,NA,initial_occupancy,Cecropis daurica
psi(npp_mean),-0.6773630566907162,NA,NA,NA,initial_occupancy,Cecropis daurica
