species,n_grid_year_detections,n_blocks_detected,n_grids_detected,first_year,last_year,candidate_rank
Seicercus valentini,335,5,79,2000,2023,463
Chloropsis lazulina,334,5,137,2002,2024,464
Ithaginis cruentus,334,5,77,2000,2024,465
Cyanistes cyanus,330,5,121,2000,2024,466
Columba leuconota,329,5,111,2000,2024,467
Nisaetus nipalensis,329,5,109,2000,2024,468
Chloris ambigua,324,5,80,2000,2024,469
Grus virgo,323,5,138,2002,2024,470
Ictinaetus malayensis,323,5,86,2002,2023,471
Alectoris chukar,322,5,166,2001,2024,472
Ibidorhyncha struthersii,322,5,128,2000,2024,473
Lanius phoenicuroides,320,5,111,2003,2024,474
Turdus merula,320,5,120,2003,2024,475
Phylloscopus goodsoni,316,5,111,2001,2024,476
Chrysolophus pictus,313,5,101,2000,2024,477
Pterorhinus pectoralis,313,5,125,2002,2024,478
Agropsar sturninus,309,5,160,2000,2024,479
Sylviparus modestus,309,5,73,2000,2024,480
Falco columbarius,307,5,165,2000,2024,481
Aegithalos iouschistos,304,5,65,2000,2024,482
Ictinaetus malaiensis,304,3,128,2005,2024,483
Poecile weigoldicus,304,5,72,2000,2024,484
Certhia hodgsoni,302,5,70,2000,2024,485
Phylloscopus maculipennis,302,5,76,2001,2024,486
Fulvetta cinereiceps,301,5,70,2000,2024,487
Terpsiphone paradisi,301,5,118,2000,2023,488
Asio otus,300,5,149,2000,2024,489
Falco naumanni,299,5,127,2001,2024,490
Hodgsonius phoenicuroides,297,5,91,2000,2023,491
Trochalopteron affine,297,5,68,2000,2024,492
Asio flammeus,295,5,142,2001,2024,493
Turdus dissimilis,295,5,80,2000,2024,494
Muscicapa ferruginea,294,5,96,2000,2024,495
Niltava sundara,293,5,83,2000,2024,496
Lioparus chrysotis,290,5,69,2000,2024,497
Arenaria interpres,288,5,113,2000,2024,498
Erythrogenys gravivox,287,3,136,2011,2024,499
Emberiza siemsseni,285,5,83,2000,2024,500
Harpactes erythrocephalus,284,5,73,2002,2024,501
Ficedula tricolor,283,5,93,2000,2024,502
Minla ignotincta,282,5,73,2002,2024,503
Phylloscopus castaniceps,282,4,125,2007,2024,504
Carpodacus rubicilla,281,5,122,2000,2024,505
Pteruthius xanthochlorus,281,5,95,2000,2024,506
Dryobates cathpharius,280,5,76,2000,2024,507
Phylloscopus ogilviegranti,280,5,97,2001,2024,508
Sinosuthora alphonsiana,279,5,66,2000,2024,509
Anthus godlewskii,278,5,141,2000,2024,510
Mergus serrator,278,5,107,2000,2024,511
Niltava davidi,274,5,92,2001,2024,512
Numenius madagascariensis,273,5,93,2000,2024,513
Sturnia sinensis,273,5,88,2000,2024,514
Merops viridis,272,5,105,2002,2024,515
Garrulax maximus,269,5,59,2000,2023,516
Fringilla coelebs,268,5,108,2001,2024,517
Garrulax monileger,268,5,78,2003,2024,518
Hypothymis azurea,268,5,72,2001,2024,519
Melanocorypha maxima,267,5,86,2000,2024,520
Prunella immaculata,267,5,67,2000,2024,521
Turdus boulboul,265,5,95,2003,2024,522
Aythya marila,263,5,121,2004,2024,523
Fulvetta ruficapilla,263,5,74,2000,2024,524
Perdix dauurica,263,5,104,2000,2024,525
Calandrella acutirostris,262,5,92,2000,2024,526
Turdus viscivorus,261,5,78,2003,2024,527
Emberiza yessoensis,260,5,109,2000,2024,528
Poecile superciliosus,259,5,65,2000,2024,529
Seicercus tephrocephalus,259,5,72,2000,2023,530
Dicaeum minullum,257,5,101,2001,2024,531
Yuhina gularis,257,5,59,2000,2024,532
Locustella lanceolata,256,5,109,2000,2024,533
Platalea minor,256,5,90,2000,2024,534
Cyornis hainanus,255,5,80,2002,2024,535
Enicurus maculatus,255,5,67,2002,2024,536
Grus vipio,255,5,92,2001,2024,537
Limosa lapponica,252,5,92,2000,2024,538
Brachypteryx leucophris,251,5,82,2002,2024,539
Calidris pugnax,251,5,123,2002,2024,540
Carduelis carduelis,251,5,82,2000,2024,541
Ixobrychus eurhythmus,251,5,130,2002,2024,542
Pucrasia macrolopha,250,5,90,2000,2024,543
Surniculus lugubris,249,5,123,2002,2024,544
Syrrhaptes paradoxus,249,5,118,2000,2024,545
Emberiza lathami,247,5,98,2003,2024,546
Muscicapa muttui,247,5,109,2002,2024,547
Fulvetta vinipectus,246,5,53,2000,2024,548
Parayuhina diademata,246,4,89,2007,2024,549
Strix nivicolum,245,5,103,2001,2024,550
Gallinago stenura,244,5,139,2002,2024,551
Phyllergates cuculatus,244,5,64,2002,2023,552
Prinia hodgsonii,242,5,69,2000,2024,553
Columba hodgsonii,241,5,61,2000,2024,554
Tetraogallus tibetanus,240,5,85,2000,2024,555
Coracias garrulus,239,5,71,2001,2024,556
Montifringilla henrici,237,5,74,2000,2024,557
Larus fuscus,236,5,95,2001,2024,558
