grid_cell,metric,trend_mean,trend_l95,trend_u95,p_pos,sig95
1277,corrected_richness,2.656437057758854,2.2016851083894617,3.099185203876786,1,TRUE
1279,corrected_richness,2.80269581361843,2.3391296103446364,3.2120090158476042,1,TRUE
1280,corrected_richness,3.2870873364113447,2.722743825567197,3.7387756360004794,1,TRUE
1281,corrected_richness,3.1460132346456993,2.657677283330028,3.6352740048278496,1,TRUE
1282,corrected_richness,3.035685251146257,2.52872894204677,3.4996913354706964,1,TRUE
1283,corrected_richness,2.9920566670155484,2.4415373019821076,3.480165506957157,1,TRUE
1284,corrected_richness,2.4076618542889574,2.0695692909131713,2.7911254059456123,1,TRUE
1285,corrected_richness,2.5688862967952883,2.221552119680838,2.9593003963498696,1,TRUE
1286,corrected_richness,2.4958363208405236,2.163072965495931,2.8707329527355627,1,TRUE
1287,corrected_richness,2.5539765515031645,2.2253629164176574,2.9515141821692685,1,TRUE
1288,corrected_richness,2.5991794483368937,2.2687139841624275,3.0219577627244285,1,TRUE
1289,corrected_richness,2.5661093448084875,2.196215275135592,2.978936590913284,1,TRUE
1305,corrected_richness,2.268938621535383,1.96474136103183,2.5527714285444407,1,TRUE
1306,corrected_richness,2.38652121077405,2.0607506167251435,2.687766039660282,1,TRUE
