covariate,species,mean,l95,u95,sig95
centroid_lat,Lanius schach,-3.4342057039000595,-3.8038992082462375,-3.0966246506375277,TRUE
centroid_lat,Milvus migrans,0.06821059606432679,-0.10650283556184517,0.2579080383814257,FALSE
centroid_lat,Motacilla alba,-1.029078187735666,-2.348774219391741,-0.06278051871761123,TRUE
centroid_lat,Motacilla cinerea,-0.2142058471889161,-0.5668278655572199,0.25175536660618747,FALSE
centroid_lat,Nycticorax nycticorax,-0.7885940450753917,-1.007116256459103,-0.5675785155680564,TRUE
centroid_lat,Parus minor,-3.142020773873625,-3.7476330555927504,-2.6651699032102156,TRUE
centroid_lat,Passer montanus,1.7849430483211677,1.3053328910235473,2.342991111947674,TRUE
centroid_lat,Phalacrocorax carbo,1.0611014306365019,0.8612102398968231,1.272488247075912,TRUE
centroid_lat,Phasianus colchicus,1.8858841502277417,1.6175653792279925,2.1667565343439055,TRUE
centroid_lat,Phoenicurus auroreus,-3.0445481270514043,-3.7742031972979784,-2.4608321431111024,TRUE
centroid_lat,Phoenicurus fuliginosus,-1.9488876454344664,-2.2540119282376754,-1.6896520567023892,TRUE
centroid_lat,Phylloscopus inornatus,-3.1952948004407213,-3.861996254273296,-2.589239692473182,TRUE
centroid_lat,Phylloscopus proregulus,-2.203196165986938,-2.6695224858342135,-1.698823706979376,TRUE
centroid_lat,Pica serica,0.8860555132961873,0.6748314926873396,1.1046047967025503,TRUE
centroid_lat,Podiceps cristatus,1.422411300560889,1.173963638452165,1.6513181250148474,TRUE
centroid_lat,Pycnonotus sinensis,-2.1081355539445745,-2.405651101637879,-1.819994125179386,TRUE
centroid_lat,Sinosuthora webbiana,-0.07652632161471473,-0.3482166186693346,0.18386948094485162,FALSE
centroid_lat,Spilopelia chinensis,-2.0616187595512936,-2.409451808302814,-1.7318843607074432,TRUE
centroid_lat,Spizixos semitorques,-1.3906138720894605,-1.6145186898406134,-1.1992543571507297,TRUE
centroid_lat,Spodiopsar cineraceus,1.057216107750728,0.7894292088898334,1.32483490821497,TRUE
centroid_lat,Streptopelia orientalis,-0.11650560095787213,-0.37900840097385347,0.1839607740163046,FALSE
