species,diet_specialization,habitat_breadth,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,migration_score
Turdus ruficollis,0.8,2,Forest,1,3,Omnivore,Invertivore,Insessorial,3
Coloeus dauuricus,0.8,5,NA,NA,NA,NA,NA,NA,2
Phylloscopus armandii,0.8,5,Shrubland,2,1,Carnivore,Invertivore,Insessorial,1
Phylloscopus coronatus,0.8,5,Woodland,2,3,Carnivore,Invertivore,Insessorial,3
Calidris alpina,0.8,8,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,3
Cygnus columbianus,0.8,8,Wetland,3,3,Herbivore,Herbivore aquatic,Aquatic,3
Numenius arquata,0.8,8,Grassland,3,3,Carnivore,Aquatic predator,Terrestrial,3
Otus sunia,0.8,2,Forest,1,1,Carnivore,Invertivore,Insessorial,1
Mergellus albellus,0.8,8,Wetland,3,3,Carnivore,Aquatic predator,Aquatic,3
Pluvialis fulva,0.2,8,Grassland,3,3,Carnivore,Omnivore,Terrestrial,3
Oenanthe isabellina,0.8,8,Shrubland,3,3,Carnivore,Invertivore,Insessorial,3
Pyrgilauda ruficollis,0.8,8,Grassland,3,2,Herbivore,Granivore,Terrestrial,2
Corvus pectoralis,0.2,8,Shrubland,3,1,Omnivore,Omnivore,Terrestrial,1
Circus melanoleucos,0.8,8,Grassland,3,3,Carnivore,Vertivore,Aerial,3
Pnoepyga pusilla,0.8,2,Forest,1,1,Carnivore,Invertivore,Terrestrial,1
Botaurus stellaris,0.8,2,Wetland,1,2,Carnivore,Aquatic predator,Terrestrial,2
Galerida cristata,0.2,8,Grassland,3,1,Omnivore,Omnivore,Terrestrial,1
Grus grus,0.2,8,Wetland,3,3,Herbivore,Omnivore,Terrestrial,3
Zoothera aurea,0.8,2,Forest,1,3,Carnivore,Invertivore,Generalist,3
Phoenicurus leucocephalus,0.8,5,Riverine,2,1,Carnivore,Aquatic predator,Terrestrial,1
Pica bottanensis,0.8,5,NA,NA,NA,NA,NA,NA,2
Accipiter gularis,0.8,2,Forest,1,3,Carnivore,Vertivore,Insessorial,3
