mean,sd,q025,median,q975,metric,period,grid_cell
41.46060801858255,1.0915152218710198,39.28640872467302,41.4527959844442,43.61215807355172,corrected_richness,P1,879
44.85291434136786,0.9523296934445141,43.051465922788225,44.8445773030492,46.606985619584826,corrected_richness,P1,881
45.84812638055178,0.9517032758125428,43.97627963835516,45.850279868612645,47.79663763801388,corrected_richness,P1,882
45.33474315395677,1.2728751319481253,42.931929019912545,45.33633382107726,47.73981391124836,corrected_richness,P1,883
47.15582733581945,1.0745492166837871,44.96446148300163,47.21216964440399,49.07677725979351,corrected_richness,P1,884
43.127139914429286,1.3467270052452205,40.608734542677,43.0441789265558,45.62592212666678,corrected_richness,P1,885
78.69810260064239,1.7335686543248536,74.88107293166449,78.81854362043151,81.7751996173158,corrected_richness,P1,916
77.03119555182053,1.9241848908459394,72.76401594342093,77.11486391860879,80.67670721914675,corrected_richness,P1,917
65.9816129282023,1.8757549819049517,62.109685093368334,66.0418330204279,69.41335202643697,corrected_richness,P1,918
72.96207295787546,1.3599520322246472,70.40424240892627,72.94832865455395,75.40897985577263,corrected_richness,P1,920
76.59143681273326,1.5906026227366212,73.39787933573102,76.63029425480622,79.41073984416415,corrected_richness,P1,921
81.96586149657664,2.029583768846488,78.16296119955172,81.9794595898218,85.85959214604613,corrected_richness,P1,922
87.26197816934555,1.5563087207635995,84.3415262671256,87.34909981273205,90.18534977924625,corrected_richness,P1,923
76.77772055147831,1.3873323934978765,74.0566923755838,76.8455375404912,79.36937069540085,corrected_richness,P1,927
75.15962855431786,1.5518424433420817,71.93913430337484,75.29903919389832,77.9602229332333,corrected_richness,P1,929
80.3465036096792,1.3422263956824596,77.5937867225752,80.32669915332593,82.78965108319463,corrected_richness,P1,931
47.827079143923825,0.9679022619146082,45.96714898398234,47.78384073244554,49.86453491671007,corrected_richness,P1,947
45.1954642978512,0.8399452972860856,43.54738268738863,45.19178117949868,46.84377131364021,corrected_richness,P1,948
43.403506165396976,0.8814978018656509,41.675734241320015,43.39135494435054,45.248792341584505,corrected_richness,P1,949
44.63992859337804,0.8180073236121033,43.00588580086289,44.63501994588192,46.21705374184306,corrected_richness,P1,950
47.07288536966895,0.9520885112162528,45.25310834770334,47.09694008389758,48.93286511001364,corrected_richness,P1,951
